brand_name,active_ingredient,strength
Inc. Bcaa,Inc. Bcaa,
Inc. Creatine,Inc. Creatine,
Propolis,Propolis,2000 Mg
Biozyme,Biozyme,
Anginine,Glyceryl Trinitrate,600 Microgram
Propolis Liquid,Propolis Liquid,60%
Paladopt,Olopatadine (As Hydrochloride),1 Mg/Ml
Apo-Desvenlafaxine Mr,Desvenlafaxine (As Benzoate),100 Mg Extended Release
Desvenlafaxine An Xr,Desvenlafaxine (As Benzoate),50 Mg Extended Release
Desvenlafaxine An Xr,Desvenlafaxine (As Benzoate),100 Mg Extended Release
Desvenlafaxine Gh Xr,Desvenlafaxine,50 Mg
Desvenlafaxine Gh Xr,Desvenlafaxine,100 Mg
Nutrition Diagnostics Formula 1,Vitamin K2,
Vitamin K2 Capsules,Vitamin K2,
Oxycodone-Medis,Oxycodone Hydrochloride,20 Mg
Oxycodone Bnm,Oxycodone Hydrochloride,20mg
Oxycodone-Medis,Oxycodone Hydrochloride,5mg
Oxycodone-Medis,Oxycodone Hydrochloride,10mg
Oxycodone Bnm,Oxycodone Hydrochloride,5mg
Xedone,Oxycodone Hydrochloride,10mg
Oxycodone-Medis,Oxycodone Hydrochloride,20mg
Oxycodone Bnm,Oxycodone Hydrochloride,10mg
Xedone,Oxycodone Hydrochloride,5mg
Xedone,Oxycodone Hydrochloride,5mg
Oxycodone-Medis,Oxycodone Hydrochloride,5mg
Xedone,Oxycodone Hydrochloride,10 Mg
Xedone,Oxycodone Hydrochloride,20 Mg
Xedone,Oxycodone Hydrochloride,20 Mg
Oxycodone-Medis,Oxycodone Hydrochloride,10 Mg
Apohealth Children's Paracetamol 1 Month To 2 Years Infant Drops,Paracetamol,100 Mg/Ml
Apohealth Children's Paracetamol 1 To 5 Years,Paracetamol,24mg/Ml
Apohealth Children's Paracetamol 6 To 12 Years,Paracetamol,48mg/Ml
Ibudeine,Ibudeine,
Sinus Plex,Sinus Plex,
Faulding Muscle Therapy,Faulding Muscle Therapy,
Bacthecal,Baclofen,0.05 Mg/1 Ml
Bacthecal,Baclofen,10 Mg/20 Ml
Bacthecal,Baclofen,10 Mg/5 Ml
Apohealth Anti-Inflammatory Pain Relief,Diclofenac Sodium,10 Mg/G
Sandostatin Lar,Octreotide (As Acetate),10 Mg
Pharmacy Choice Sinus Nasal Decongestant Tablets,Pseudoephedrine Hydrochloride,60mg
Saniclear Alcohol Gel,Ethanol,70% V/V
Diltiazem Ch,Diltiazem Hydrochloride,60mg
Super Liver Detox Raydel,Super Liver Detox Raydel,
Beeswax Alcohol Cell,Beeswax Alcohol Cell,
Sandostatin Lar,Octreotide (As Acetate),20 Mg
Sandostatin Lar,Octreotide (As Acetate),30 Mg
Cefepime Kabi,Cefepime (As Hydrochloride),2 G
Cefepime Kabi,Cefepime (As Hydrochloride),1 G
Epirubicin Accord,Epirubicin Hydrochloride,200Mg/100Ml
Vitatree Mega Omega 369 Plus Q10,Vitatree Mega Omega 369 Plus Q10,
Baxter,Sodium Chloride And Glucose,0.45% Sodium Chloride And 5% Glucose
Abstral,Fentanyl,300 Microgram
Liver Tonic,Liver Tonic,
Nature's Care Super Lecithin,Lecithin,1200 Mg
Trust Osteo D,Trust Osteo D,
Amcal Step 3 Nicotine Patches,Nicotine,7 Mg/24 Hours
Amcal Step 1 Nicotine Patches,Nicotine,21 Mg/24 Hours
Amcal Step 2 Nicotine Patches,Nicotine,14 Mg/24 Hours
Apohealth Cold & Flu + Cough Relief Day/Night,Apohealth Cold & Flu + Cough Relief Day/Night,
Abstral,Fentanyl (As Citrate),600 Microgram
Abstral,Fentanyl (As Citrate),800 Microgram
Picotol,Sodium Picosulfate,
Apohealth Ibuprofen,Ibuprofen,200 Mg
Nutrition Diagnostics Formula 2,Nutrition Diagnostics Formula 2,
Azonaire Hayfever & Allergy Prevention & Relief,Mometasone Furoate (As Monohydrate),50 Microgram/Actuation
Cartia Low Dose Aspirin,Aspirin,100 Mg
Glucosamine Hcl,Glucosamine Hydrochloride,1500 Mg
Beriplex P/N,Human Prothrombin Complex,1000 Iu
Baxter,"Potassium Chloride, Glucose, Sodium Chloride","20 Mmol Potassium Chloride, 5% Glucose, 0.9% Sodium Chloride"
"Baxter 20 Mmol Potassium Chloride, 5% Glucose And 0.45% Sodium Chloride Injection","Potassium Chloride, Glucose, Sodium Chloride",
Qiara Infant,Qiara Infant,
Nature's Care Grape Seed Forte 50000,Grape Seed Extract,
Metagenics Vitamin E8,Vitamin E,
Hospira Paclitaxel I.V. Infusion 30 Mg/5 Ml,Paclitaxel,30 Mg/5 Ml
Paclitaxel I.V. Infusion,Paclitaxel,100 Mg/16.7 Ml
Codral Sore Throat Lozenges,Menthol,
Nature's Own High Strength Zinc,Zinc,30 Mg
Nature's Own High Strength Echinacea,Echinacea,"10,000"
Nulax Fruit Laxative,Nulax Fruit Laxative,100 Mg
Oxaliplatin,Oxaliplatin,100 Mg/20 Ml
Hospira,Oxaliplatin,100 Mg/20 Ml
Aesop Avail Body Lotion With Sunscreen,Aesop Avail Body Lotion With Sunscreen,
Sunlight Squalene,Squalene,1000 Mg
Bilberry,Bilberry,15000 Mg
Milk Thistle,Milk Thistle,35000 Mg
Spedra,Avanafil,50 Mg
Spedra,Avanafil,100 Mg
Spedra,Avanafil,200 Mg
Imbruvica,Ibrutinib,140 Mg
Oxaliplatin,Oxaliplatin,50 Mg/10 Ml
Harmony Menopause,Harmony Menopause,
Ubiquinol,Ubiquinol,100 Mg
Allimax,Allium Sativum (Garlic Extract),
Tranexamic-Aft,Tranexamic Acid,1000 Mg/10 Ml
Tranexamic-Aft,Tranexamic Acid,500 Mg/5 Ml
Jaximab,Infliximab,100 Mg
Chemists' Own Low Dose Aspirin,Aspirin,100 Mg
Nature's Own High Strength Celery Seed,Celery Seed,4000 Mg
Rabeprazole Ran,Rabeprazole Sodium,20 Mg
Rabeprazole Sun,Rabeprazole Sodium,20 Mg
Pabrazole,Rabeprazole Sodium,20 Mg
Persist Plus Antiseptic Protective Barrier Skin Prep,Chlorhexidine Gluconate And Ethanol,1.08% W/W And 83.24% V/V
Amcal Cold Sore Cream,Aciclovir,5% W/W
Pharmacy Care Cold Sore Cream,Aciclovir,5% W/W
Apohealth Worm Treatment,Mebendazole,100 Mg
Bioactivated Magnesium,Magnesium,
Apohealth Laxative With Softener,Sennosides (As Sennoside B) And Docusate Sodium,Sennosides 8 Mg And Docusate Sodium 50 Mg
Apohealth Glucose And Electrolytes,Glucose And Electrolytes,
Coq10 Health & Energy 3650,Coenzyme Q10,
Bu Zhong Yi Qi Tang,Ginseng And Astragalus,
Si Ni San,Bupleurum & Aurantium Immaturus Formula,
Liu Jun Zi Tang,Major Six Herb Combination,
Ren Shen Yang Ying Tang,Ginseng & Rehmannia Combination,
Gan Lu Yin,Sweet Combination,
Xiang Sha Liu Jun Zi Tang,Vladimiria & Amomum Combination,
0870 (Kaiser Pharmaceutical) Zhi Sou San,0870 (Kaiser Pharmaceutical) Zhi Sou San,
1160 (Kaiser Pharmaceutical) Ping Wei San,1160 (Kaiser Pharmaceutical) Ping Wei San,
Amcal Nicotine Chewing Gum,Nicotine,2mg
Amcal Nicotine Chewing Gum,Nicotine,2mg
Amcal Nicotine Chewing Gum,Nicotine,4mg
Nettle Cream,Nettle Cream,
Calendula Cream,Calendula Cream,
Arnica Cream,Arnica Cream,
Evotaz,Atazanavir/Cobicistat,300 Mg/150 Mg Film Coated Tablets
Bio Island Dha For Pregnancy,Bio Island Dha For Pregnancy,
Cee Pineapple,Cee Pineapple,
Cee Strawberry,Cee Strawberry,
Pharmacy Choice Skin Assist Terbinafine Hydrochloride 1% Cream,Terbinafine Hydrochloride,1% Cream
Apohealth Thrush Treatment Duo,Clotrimazole/Fluconazole,1% Cream/150 Mg Capsule
Fbx Garcinia Max,Fbx Garcinia Max,
Sleep Plex Amcal Fem V Capsule,Fluconazole,150mg
Pharmacy Care Femina V Capsule,Fluconazole,150mg
Gastro-Soothe Forte,Hyoscine Butylbromide,20mg
Hydralyte Apple Blackcurrant Electrolyte Ice Blocks,Hydralyte Apple Blackcurrant Electrolyte Ice Blocks,
Hydralyte Orange Electrolyte Powder,Hydralyte Orange Electrolyte Powder,
Zerbaxa,Ceftolozane Sulfate/Tazobactam Sodium,1000 Mg/500 Mg Powder For Injection Vial
Zuciel,Imatinib,100 Mg Tablet Blister Pack
Zuciel,Imatinib,400 Mg Tablet Blister Pack
Imatinib Sandoz,Imatinib,100 Mg Tablet Blister Pack
Imatinib Sandoz,Imatinib,400 Mg Tablet
Maltofer,Maltofer,
Metoclopramide-Wgr,Metoclopramide Hydrochloride,5 Mg Film Coated Tablets
Metoclopramide-Wgr,Metoclopramide Hydrochloride,10 Mg Film Coated Tablets
Clovomet,Metoclopramide Hydrochloride,5 Mg Film Coated Tablets
Clovomet,Metoclopramide Hydrochloride,10 Mg
Perinorm,Metoclopramide Hydrochloride,5 Mg
Perinorm,Metoclopramide Hydrochloride,10 Mg
Metpram,Metoclopramide Hydrochloride,5 Mg
Metpram,Metoclopramide Hydrochloride,10 Mg
Emexlon,Metoclopramide Hydrochloride,5 Mg
Emexlon,Metoclopramide Hydrochloride,10 Mg
Nature'S Care Celery Seed 5000,Nature'S Care Celery Seed 5000,
Apohealth Pantoprazole Heartburn Relief,Pantoprazole (As Sodium Sesquihydrate),20 Mg
Hydralyte Orange Electrolyte Solution,Hydralyte Orange Electrolyte Solution,
Hydralyte Apple Blackcurrant Electrolyte Solution,Electrolyte,
Hydralyte Orange Electrolyte Ice Blocks,Electrolyte,
Hydralyte Apple Blackcurrant Electrolyte Powder,Electrolyte,
Apohealth Cardio Aspirin,Aspirin,100 Mg
Beijing Tong Ren Tang Niuhuang Jiedu Tablet,Beijing Tong Ren Tang Niuhuang Jiedu Tablet,
Peking Niu Huang Jie Du Pian,Peking Niu Huang Jie Du Pian,
Palexia Sr,Tapentadol (As Hydrochloride),25 Mg Sustained Release Tablet
Tacrolimus Sandoz,Tacrolimus,0.75 Mg Capsule
Kids Algal Dha,Kids Algal Dha,
Kids Milky Calcium Plus Vitamin D3,Kids Milky Calcium Plus Vitamin D3,
Tacrolimus Sandoz,Tacrolimus,2 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,5 Mg / 500 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,5 Mg / 850 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,5 Mg / 1000 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,12.5 Mg / 500 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,12.5 Mg / 850 Mg
Jardiamet,Empagliflozin/Metformin Hydrochloride,12.5 Mg / 1000 Mg
Revlimid,Lenalidomide,2.5 Mg
Revlimid,Lenalidomide,7.5 Mg
Revlimid,Lenalidomide,20 Mg
Eagle Cytopro Repair Ultra Strength,Garcinia Cambogia,
Clonea Antifungal Cream,Clotrimazole,10 Mg/G
"Nature's Own Triple Strength Garlic + C, Horseradish",Garlic,
Harmony Pms Support Women's Balance,Women's Balance,
Apohealth Anti-Fungal Cream,Clotrimazole,10 Mg/G
Visionary Health Premium Magnesium,Visionary Health Premium Magnesium,
Sylvant,Siltuximab,100 Mg
Sylvant,Siltuximab,400 Mg
Chitosan Fibre Complex,Chitosan Fibre Complex,
Moov Head Lice Combing Conditioner,Moov Head Lice Combing Conditioner,
Pantobex 20,Pantoprazole (As Sodium Sesquihydrate),20 Mg Enteric-Coated Tablet
Amcal Pantoprazole Heartburn Relief,Pantoprazole (As Sodium Sesquihydrate),20 Mg Enteric-Coated Tablet
Pharmacy Care Pantoprazole Heartburn Relief,Pantoprazole (As Sodium Sesquihydrate),20 Mg Enteric-Coated Tablet
Apo-Lacosamide,Lacosamide,50 Mg
Genrx Lacosamide,Lacosamide,100 Mg
Apo-Lacosamide,Lacosamide,100 Mg
Lacosamide Apotex,Lacosamide,200 Mg
Lacosamide Apotex,Lacosamide,50 Mg
Apohealth Period Pain Relief,Naproxen Sodium,275 Mg
Swisse Ultiboost Lecithin,Swisse Ultiboost Lecithin,
Apohealth Sensease Nasal Allergy Relief,Mometasone Furoate,50 Micrograms/Actuation
Cognition Support Coq10,Coenzyme Q10,150 Mg
Lacosamide Apotex,Lacosamide,100 Mg
Genrx Lacosamide,Lacosamide,150 Mg
Lacosamide Apotex,Lacosamide,150 Mg
Apo-Lacosamide,Lacosamide,200 Mg
Genrx Lacosamide,Lacosamide,200 Mg
Apo-Lacosamide,Lacosamide,150mg
Genrx Lacosamide,Lacosamide,50mg
Ilevro,Nepafenac,0.3%
Swisse Ultiboost High Strength Celery,Swisse Ultiboost High Strength Celery,
Nutrivital Premium Glucosamine 1500 Plus,Nutrivital Premium Glucosamine 1500 Plus,
Ipca-Paracetamol,Paracetamol,500 Mg
Pacimol,Paracetamol,500 Mg
Apohealth Loperamide,Loperamide Hydrochloride,2 Mg
Modafin,Modafinil,100 Mg
Blossom Kids Super Dha,Blossom Kids Super Dha,
Apo-Paracetamol Pain Relief,Paracetamol,500 Mg
Apohealth Paracetamol Pain Relief,Paracetamol,500 Mg
Apohealth Paracetamol Pain Relief,Paracetamol,500 Mg
Apo-Paracetamol Pain Relief,Paracetamol,500 Mg
Gesimol,Paracetamol,500 Mg
Rafen Gel Capsules,Ibuprofen,200 Mg
Hawthorn Berries,Hawthorn Berries,
Amoxicillin/Clavulanic Acid Viatris 500/125,Amoxicillin 500 Mg (As Trihydrate) & Clavulanic Acid 125 Mg (As Potassium),
Amoxicillin/Clavulanic Acid Viatris 875/125,Amoxicillin 875 Mg (As Trihydrate) And Clavulanic Acid 125 Mg (As Potassium),
Fenofibrate Viatris,Fenofibrate,145 Mg
Fenofibrate Viatris,Fenofibrate,48 Mg Tablet Blister Pack
Cipla Montelukast 4,Montelukast (As Sodium),4 Mg Chewable Tablet Blister Pack
Cipla Montelukast 5,Montelukast (As Sodium),5 Mg Chewable Tablet Blister Pack
Cipla Montelukast 10,Montelukast (As Sodium),10 Mg Film-Coated Tablet Blister Pack
Dermaveen Sensitive Relief Eczema Cream,Dermaveen Sensitive Relief Eczema Cream,
Maltofer Syrup,Maltofer,
Maltofer Drops,Maltofer,
Salvtonic,Salvtonic,
Osteovite 1500,Osteovite,
Amcal Paracetamol 500mg Tablets,Paracetamol,500 Mg
Amcal Cetirizine,Cetirizine Hydrochloride,10 Mg
Metagenics Metapure Epa/Dha Capsules,Metagenics Metapure Epa/Dha Capsules,
Zyrtec,Cetirizine Hydrochloride,10 Mg
Zyrtec,Cetirizine Hydrochloride,10 Mg
Nutriway Trim Choice Advance,Nutriway Trim Choice Advance,
Benadryl Children's Cough 2 Years + Honey Lemon Flavour,Benadryl,
Clonea Clotrimazole Thrush Treatment 3 Day Cream,Clotrimazole,20mg/G
Mizart,Telmisartan,40mg
Mizart,Telmisartan,80mg
Telmisartan Alem,Telmisartan,40mg
Telmisartan Alem,Telmisartan,80mg
Telmibic,Telmisartan,40mg
Telmibic,Telmisartan,80mg
Protectyn Lumexia,Methyl Aminolevulinate,160mg/g
Bemfola,Follitropin Alfa (rch),300 IU/0.5 Ml (22 Microgram)
Bemfola,Follitropin Alfa (rch),450 IU/0.75 Ml (33 Microgram)
Arnuity Ellipta,Fluticasone Furoate,100 Microgram
Arnuity Ellipta,Fluticasone Furoate,200 Microgram
Synagis,Palivizumab (rmc),50 Mg/0.5 Ml
Lonquex,Lipegfilgrastim (Rbe),6 Mg/0.6 Ml Solution For Injection Prefilled Syringe
Mediherb Thyadren Support,Mediherb Thyadren Support,
Bemfola,Follitropin Alfa (Rch),75 Iu/0.125 Ml (5.5 Microgram) Solution For Injection Cartridge In A Pre-Filled Pen
Bemfola,Follitropin Alfa (Rch),150 Iu/0.25 Ml (11 Microgram) Solution For Injection Cartridge In A Pre-Filled Pen
Bemfola,Follitropin Alfa (Rch),225 Iu/0.375 Ml (16.5 Microgram) Solution For Injection Cartridge In A Pre-Filled Pen
Apohealth Children's Ibuprofen 6 Months To 12 Years,Ibuprofen,20 Mg/Ml
Synagis,Palivizumab (Rmc),100 Mg/1 Ml
Repatha,Evolocumab (Rch),140 Mg/Ml
Repatha,Evolocumab (Rch),140 Mg/Ml
Apo-Ramipril,Ramipril,2.5 Mg
Apo-Ramipril,Ramipril,10 Mg
Apo-Ramipril,Ramipril,5 Mg
Nausicalm,Cyclizine Hydrochloride,50 Mg
Bioglan Curcumin Turmeric,Bioglan Curcumin Turmeric,15800 Mg
Prezcobix,Darunavir/Cobicistat,800 Mg/150 Mg
Natulan,Procarbazine Hydrochloride,50 Mg
Amcal Ibuprofen Suspension For Children,Ibuprofen,20 Mg/Ml
Alka-Seltzer,Aspirin,324 Mg
Gaviscon Dual Action,Gaviscon Dual Action,
Bisalax,Bisacodyl,5mg
Indapamide-Wgr,Indapamide Hemihydrate,2.5mg
Faulding Coq10,Coenzyme Q10,150mg
Flumazenil-Baxter,Flumazenil,0.5 Mg/5 Ml
Flumazenil-Baxter,Flumazenil,1 Mg/10 Ml
Nature's Family Mega Gold Propolis 2500,Nature's Family Mega Gold Propolis 2500,
City Sunscreen Serum Broad Spectrum SPF 30,City Sunscreen Serum Broad Spectrum SPF 30,
Plasma-Lyte 148 (Approx. PH 7.4),Plasma-Lyte 148,500 Ml
Plasma-Lyte 148 (Approx. PH 7.4),Plasma-Lyte 148,1000 Ml
Nexium 24hr Once Daily Dosing,Esomeprazole,20 Mg
Eplerenone Sp,Eplerenone,25 Mg
Eplerenone Gppl,Eplerenone,50 Mg
Eplerenone Ch,Eplerenone,50 Mg
Eplerenone Sp,Eplerenone,50 Mg
Inplerone,Eplerenone,50 Mg
Inpler,Eplerenone,50 Mg
Espler,Eplerenone,25 Mg
Eplerenone Gppl,Eplerenone,25 Mg
Inplerone,Eplerenone,25 Mg
Espler,Eplerenone,50 Mg
Inpler,Eplerenone,25 Mg
Eplerenone Gxp,Eplerenone,25 Mg
Eplerenone Ch,Eplerenone,25 Mg
Eplerenone Gxp,Eplerenone,50 Mg
Apo-Levonorgestrel-1,Levonorgestrel,1.5 Mg
Levonorgestrel-1 Apotex,Levonorgestrel,1.5 Mg
Amcal Senna-Col,Senna,
Pharmacy Care Senna-Col,Senna,
Apo-Temozolomide,Temozolomide,5 Mg
Genrx Azacitidine,Azacitidine,100 Mg Powder For Injection Vial
Apo-Azacitidine,Azacitidine,100 Mg Powder For Injection Vial
Azacitidine Apotex,Azacitidine,100 Mg Powder For Injection Vial
Prostate Pro Postella-1,Levonorgestrel,1.5 Mg Tablet Blister Pack (New Formulation)
Dp-Fluorouracil,Fluorouracil,5% W/W
Apoc-5fu,Fluorouracil,5% W/W
Fluorouracil-Pc,Fluorouracil,5% W/W
Swisse Ultiboost Odourless Wild Fish Oil,Swisse Ultiboost Odourless Wild Fish Oil,
Mag-Tab,Magnesium Lactate,500 Mg
Apo-Temozolomide,Temozolomide,20 Mg
Apo-Temozolomide,Temozolomide,180 Mg
Apo-Temozolomide,Temozolomide,250 Mg
Apo-Temozolomide,Temozolomide,100 Mg
Apo-Temozolomide,Temozolomide,140 Mg
Co Q10,Co Enzyme Q10,150 Mg
Fish Oil,Fish Oil,
Articadent Dental With Adrenaline,Articaine Hydrochloride And Adrenaline (Epinephrine),"1:100,000"
Cipla Imatinib Adult,Imatinib (As Mesilate),400 Mg
Cipla Imatinib Adult,Imatinib (As Mesilate),100 Mg
Celery Seed,Celery Seed,3000
Respiraclear Detox Formula,Respiraclear Detox Formula,
Little Bodies Eczema Relief Cream,Little Bodies Eczema Relief Cream,
Cipla Donepezil,Donepezil Hydrochloride (As Monohydrate),10 Mg Film-Coated Tablet
Cipla Donepezil,Donepezil Hydrochloride (As Monohydrate),5 Mg Film-Coated Tablet
Little Bodies Eczema Wash & Shampoo,Little Bodies Eczema Wash & Shampoo,
High Strength Vitamin B12,Vitamin B12,1000 Mcg
Keenmind,Keenmind,
Decozol,Miconazole,2% W/W
Pharmacy Care Nicotine Lozenges,Nicotine (As Nicotine Polacrilex),2 Mg
Pharmacy Care Nicotine Lozenges,Nicotine (As Nicotine Polacrilex),4 Mg
Swisse Ultiboost Vitamin D,Swisse Ultiboost Vitamin D,
Opdivo,Nivolumab,40 Mg In 4 Ml (10 Mg/Ml) Concentrated Solution For Iv Infusion Vial
Opdivo,Nivolumab,100 Mg In 10 Ml (10 Mg/Ml) Concentrated Solution For Iv Infusion Vial
Migraine Escape,Migraine Escape,
Amoxyclav Duo Scp 500/125,Amoxicillin (As Trihydrate) 500Mg And Clavulanic Acid (As Potassium Clavulanate) 125Mg,Tablet Blister Pack
Amoxyclav Duo Forte,Amoxicillin 875mg And Clavulanic Acid 125mg,875mg/125mg
Reddaza,Azacitidine,100mg
Azacitidine - Dr. Reddy's,Azacitidine,100mg
Azacitidine Juno,Azacitidine,100mg
Azacitidine-DRLA,Azacitidine,100mg
Calcium + D3 Daily,Calcium + D3,600 Mg
Pregnancy Care Fish Oil Chewable Softgel Capsules,Fish Oil,
Medreich Bisacodyl,Bisacodyl,5 Mg
Bisacodyl 5 Mg Gastro Resistant Tablets,Bisacodyl,5 Mg
Intratect,Human Normal Immunoglobulin,
Intratect,Human Normal Immunoglobulin,
Intratect,Human Normal Immunoglobulin,
Nutrition Diagnostics Formula 3,Nutrition Diagnostics Formula 3,
Femular Forte,Femular Forte,
Nucala,Mepolizumab,100 Mg Powder For Injection
Movantik,Naloxegol (As Oxalate),25 Mg Film-Coated Tablet Blister Pack
Movantik,Naloxegol (As Oxalate),12.5 Mg Film-Coated Tablet Blister Pack
Paralgin,Paracetamol,500 Mg Tablet Blister Pack
Intratect,Human Normal Immunoglobulin,1g In 10 Ml Solution For Intravenous Infusion Vial
Ki Immune Defence & Energy Formula Nanocelle D3,Ki Immune Defence & Energy Formula Nanocelle D3,
Amitriptyline Ac,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Ac,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Ac,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Ac,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Ac,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Ac,Amitriptyline Hydrochloride,50 Mg
Amitriptyline An,Amitriptyline Hydrochloride,10 Mg
Amitriptyline An,Amitriptyline Hydrochloride,10 Mg
Amitriptyline An,Amitriptyline Hydrochloride,25 Mg
Amitriptyline An,Amitriptyline Hydrochloride,25 Mg
Amitriptyline An,Amitriptyline Hydrochloride,50 Mg
Amitriptyline An,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Ch,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Gxp,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Gppl,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Rs,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,10 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,25 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,50 Mg
Amitriptyline Pn,Amitriptyline Hydrochloride,50 Mg
Entrip,Amitriptyline Hydrochloride,10 Mg
Entrip,Amitriptyline Hydrochloride,10 Mg
Entrip,Amitriptyline Hydrochloride,25 Mg
Entrip,Amitriptyline Hydrochloride,25 Mg
Entrip,Amitriptyline Hydrochloride,50 Mg
Entrip,Amitriptyline Hydrochloride,50 Mg
Chemplus Osteo Relief,Paracetamol,665 Mg
Vitatree Cell Restore,Vitatree Cell Restore,
Imatinib-Teva,Imatinib,100 Mg
Imatinib-Teva,Imatinib,400 Mg
Mediherb Andrographis Complex,Mediherb Andrographis Complex,
Glutathione,Glutathione,
Orthoplex Multigen Biotic Powder,Orthoplex Multigen Biotic Powder,
Acnatac,Clindamycin (As Phosphate) And Tretinoin,1.0% W/W And 0.025% W/W
Urisol,Urisol,
Nutrivital Premium Liver Support,Nutrivital Premium Liver Support,
Nutrivital Vitamin D3 In Rice Bran Oil,Nutrivital Vitamin D3 In Rice Bran Oil,
Chemists' Own Stomach Ache & Pain Relief,Hyoscine Butylbromide,10 Mg
Ezetimibe/Simvastatin Msd 10 Mg/10 Mg,Ezetimibe 10 Mg And Simvastatin 10 Mg,
Ezetimibe/Simvastatin Msd 10 Mg/20 Mg,Ezetimibe 10 Mg And Simvastatin 20 Mg,
Ezetimibe/Simvastatin Msd 10 Mg/40 Mg,Ezetimibe 10 Mg And Simvastatin 40 Mg,
Flecainide Sandoz,Flecainide Acetate,50 Mg
Flecainide Sandoz,Flecainide Acetate,100 Mg
Flecainide BNM,Flecainide Acetate,100 Mg
Flecainide BNM,Flecainide Acetate,50 Mg
Ezetimibe/Simvastatin Msd,Ezetimibe And Simvastatin,10 Mg/80 Mg
Zeklen,Ezetimibe And Simvastatin,10 Mg/20 Mg
Zeklen,Ezetimibe And Simvastatin,10 Mg/40 Mg
Zeklen,Ezetimibe And Simvastatin,10 Mg/80 Mg
Methyl-Max,Methyl-Max,
Ursodox Gh,Ursodeoxycholic Acid,250 Mg
Ursodox Lapl,Ursodeoxycholic Acid,250 Mg
Spring Leaf Super Vitamin D 1000 One-A-Day,Vitamin D,
Zient,Ezetimibe,10 Mg
Ki Cold And Flu Attack,Ki Cold And Flu Attack,
Liver Detox Milk Thistle Complex,Milk Thistle,25000 Mg
Selenium Drops,Selenium Drops,
Strensiq,Asfotase Alfa Rch,80 Mg/0.80 Ml
Strensiq,Asfotase Alfa Rch,40 Mg/1.00 Ml
Meloxicam Gppl,Meloxicam,7.5 Mg
Meloxicam Gppl,Meloxicam,15 Mg
Meloxicam-Wgr,Meloxicam,7.5 Mg
Meloxicam-Wgr,Meloxicam,15 Mg
Melobic 7.5,Meloxicam,7.5 Mg
Melobic 15,Meloxicam,15 Mg
Moxicam,Meloxicam,7.5 Mg
Moxicam,Meloxicam,15 Mg
Agilocam,Meloxicam,7.5 Mg
Agilocam,Meloxicam,15 Mg
Meloxyk,Meloxicam,7.5 Mg
Meloxyk,Meloxicam,15 Mg
Berocca Performance Original Berry Flavour,Berocca Performance Original Berry Flavour,
Lyomet Xr 1000,Metformin Hydrochloride,1000 Mg
M-Formin Xr 1000,Metformin Hydrochloride,1000 Mg
Fetmin Xr 750,Metformin Hydrochloride,750 Mg
Metformin Ch Xr 750,Metformin Hydrochloride,750 Mg
Metformin Arrow Xr,Metformin Hydrochloride,750 Mg
